平均帧率：11
Fri Jan  1 12:48:55 UTC 2021
Mem: 54180K used, 1548K free, 824K shrd, 1120K buff, 25176K cached
CPU:  61% usr   7% sys   0% nic  23% idle   0% io   0% irq   7% sirq
Load average: 9.66 7.67 6.49 2/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     D    69208 124%  38% ./main
    7     2 root     SW       0   0%   0% [ksoftirqd/0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-mm]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-fl]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54220K used, 1508K free, 940K shrd, 1172K buff, 25128K cached
CPU:  59% usr  14% sys   0% nic  25% idle   0% io   0% irq   0% sirq
Load average: 10.15 7.97 6.63 3/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     R    69208 124%  46% ./main
  611     2 root     IW       0   0%   8% [kworker/0:1-pm]
   76     1 root     R     1784   3%   6% /sbin/klogd -n
   72     1 root     S     1788   3%   6% /sbin/syslogd -n
   29     2 root     RW       0   0%   4% [kconsole]
  626   593 root     R     1800   3%   3% top -b -d 1 -n 60
   43     2 root     SW       0   0%   1% [spi0]
  293     1 root     S    32908  59%   0% smbd -D
  296   293 root     S    31976  57%   0% {smbd-notifyd} smbd -D
  297   293 root     S    31968  57%   0% {smbd-cleanupd} smbd -D
  302     1 root     S    24480  44%   0% nmbd -D
  245     1 root     S    10220  18%   0% /usr/bin/adbd
  198     1 root     S     5368  10%   0% /usr/sbin/ntpd -g -p /var/run/ntpd.pid
  494   205 root     S     5328  10%   0% sshd: root@notty
  424   205 root     S     5168   9%   0% sshd: root@pts/0
  591   205 root     S     5164   9%   0% sshd: root@pts/1
  205     1 root     S     4852   9%   0% sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  525   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  524   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  496   494 root     S     3812   7%   0% /usr/libexec/sftp-server
  440   424 root     S     1824   3%   0% -sh
  593   591 root     S     1820   3%   0% -sh
    1     0 root     S     1796   3%   0% init
  373     1 root     S     1792   3%   0% /sbin/getty -L console 0 vt100
  211     1 root     S     1788   3%   0% /usr/sbin/telnetd -F
   87     1 root     S     1596   3%   0% /sbin/udevd -d
  534     2 root     IW       0   0%   0% [kworker/0:2-eve]
  370     2 root     DW       0   0%   0% [vmcu]
    7     2 root     SW       0   0%   0% [ksoftirqd/0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-mm]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-fl]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54196K used, 1532K free, 908K shrd, 1180K buff, 25100K cached
CPU:  57% usr  14% sys   0% nic  29% idle   0% io   0% irq   0% sirq
Load average: 9.98 7.97 6.64 2/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     S    69208 124%  45% ./main
  611     2 root     DW       0   0%   8% [kworker/0:1+eve]
   76     1 root     S     1784   3%   7% /sbin/klogd -n
   72     1 root     S     1788   3%   4% /sbin/syslogd -n
   29     2 root     DW       0   0%   4% [kconsole]
  626   593 root     R     1800   3%   2% top -b -d 1 -n 60
  534     2 root     IW       0   0%   1% [kworker/0:2-eve]
    7     2 root     SW       0   0%   1% [ksoftirqd/0]
  293     1 root     S    32908  59%   0% smbd -D
  296   293 root     S    31976  57%   0% {smbd-notifyd} smbd -D
  297   293 root     S    31968  57%   0% {smbd-cleanupd} smbd -D
  302     1 root     S    24480  44%   0% nmbd -D
  245     1 root     S    10220  18%   0% /usr/bin/adbd
  198     1 root     S     5368  10%   0% /usr/sbin/ntpd -g -p /var/run/ntpd.pid
  494   205 root     S     5328  10%   0% sshd: root@notty
  424   205 root     S     5168   9%   0% sshd: root@pts/0
  591   205 root     S     5164   9%   0% sshd: root@pts/1
  205     1 root     S     4852   9%   0% sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  525   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  524   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  496   494 root     S     3812   7%   0% /usr/libexec/sftp-server
  440   424 root     S     1824   3%   0% -sh
  593   591 root     S     1820   3%   0% -sh
    1     0 root     S     1796   3%   0% init
  373     1 root     S     1792   3%   0% /sbin/getty -L console 0 vt100
  211     1 root     S     1788   3%   0% /usr/sbin/telnetd -F
   87     1 root     S     1596   3%   0% /sbin/udevd -d
  370     2 root     DW       0   0%   0% [vmcu]
   43     2 root     SW       0   0%   0% [spi0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-mm]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-fl]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54172K used, 1556K free, 876K shrd, 1180K buff, 25076K cached
CPU:  55% usr  18% sys   0% nic  27% idle   0% io   0% irq   0% sirq
Load average: 9.98 7.97 6.64 2/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     S    69208 124%  46% ./main
  611     2 root     IW       0   0%   8% [kworker/0:1-eve]
   76     1 root     S     1784   3%   6% /sbin/klogd -n
   72     1 root     S     1788   3%   5% /sbin/syslogd -n
   29     2 root     DW       0   0%   4% [kconsole]
  626   593 root     R     1800   3%   2% top -b -d 1 -n 60
  534     2 root     IW       0   0%   1% [kworker/0:2-eve]
   43     2 root     SW       0   0%   1% [spi0]
  293     1 root     S    32908  59%   0% smbd -D
  296   293 root     S    31976  57%   0% {smbd-notifyd} smbd -D
  297   293 root     S    31968  57%   0% {smbd-cleanupd} smbd -D
  302     1 root     S    24480  44%   0% nmbd -D
  245     1 root     S    10220  18%   0% /usr/bin/adbd
  198     1 root     S     5368  10%   0% /usr/sbin/ntpd -g -p /var/run/ntpd.pid
  494   205 root     S     5328  10%   0% sshd: root@notty
  424   205 root     S     5168   9%   0% sshd: root@pts/0
  591   205 root     S     5164   9%   0% sshd: root@pts/1
  205     1 root     S     4852   9%   0% sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  525   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  524   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  496   494 root     S     3812   7%   0% /usr/libexec/sftp-server
  440   424 root     S     1824   3%   0% -sh
  593   591 root     S     1820   3%   0% -sh
    1     0 root     S     1796   3%   0% init
  373     1 root     S     1792   3%   0% /sbin/getty -L console 0 vt100
  211     1 root     S     1788   3%   0% /usr/sbin/telnetd -F
   87     1 root     S     1596   3%   0% /sbin/udevd -d
  370     2 root     DW       0   0%   0% [vmcu]
    7     2 root     SW       0   0%   0% [ksoftirqd/0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-fl]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54192K used, 1536K free, 836K shrd, 1180K buff, 25040K cached
CPU:  56% usr  15% sys   0% nic  26% idle   0% io   0% irq   1% sirq
Load average: 9.98 7.97 6.64 1/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     D    69208 124%  45% ./main
  611     2 root     DW       0   0%   8% [kworker/0:1+eve]
   76     1 root     R     1784   3%   6% /sbin/klogd -n
   72     1 root     S     1788   3%   5% /sbin/syslogd -n
   29     2 root     RW       0   0%   4% [kconsole]
  626   593 root     R     1800   3%   2% top -b -d 1 -n 60
  534     2 root     IW       0   0%   1% [kworker/0:2-eve]
  370     2 root     DW       0   0%   1% [vmcu]
    7     2 root     SW       0   0%   1% [ksoftirqd/0]
  293     1 root     S    32908  59%   0% smbd -D
  296   293 root     S    31976  57%   0% {smbd-notifyd} smbd -D
  297   293 root     S    31968  57%   0% {smbd-cleanupd} smbd -D
  302     1 root     S    24480  44%   0% nmbd -D
  245     1 root     S    10220  18%   0% /usr/bin/adbd
  198     1 root     S     5368  10%   0% /usr/sbin/ntpd -g -p /var/run/ntpd.pid
  494   205 root     S     5328  10%   0% sshd: root@notty
  424   205 root     S     5168   9%   0% sshd: root@pts/0
  591   205 root     S     5164   9%   0% sshd: root@pts/1
  205     1 root     S     4852   9%   0% sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  525   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  524   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  496   494 root     S     3812   7%   0% /usr/libexec/sftp-server
  440   424 root     S     1824   3%   0% -sh
  593   591 root     S     1820   3%   0% -sh
    1     0 root     S     1796   3%   0% init
  373     1 root     S     1792   3%   0% /sbin/getty -L console 0 vt100
  211     1 root     S     1788   3%   0% /usr/sbin/telnetd -F
   87     1 root     S     1596   3%   0% /sbin/udevd -d
   43     2 root     SW       0   0%   0% [spi0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-ev]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54336K used, 1392K free, 996K shrd, 1180K buff, 25204K cached
CPU:  58% usr  12% sys   0% nic  26% idle   0% io   0% irq   2% sirq
Load average: 9.98 7.97 6.64 1/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     S    69208 124%  48% ./main
  611     2 root     DW       0   0%   9% [kworker/0:1+eve]
   76     1 root     S     1784   3%   8% /sbin/klogd -n
   72     1 root     S     1788   3%   4% /sbin/syslogd -n
   29     2 root     RW       0   0%   4% [kconsole]
  626   593 root     R     1800   3%   1% top -b -d 1 -n 60
   43     2 root     SW       0   0%   1% [spi0]
  293     1 root     S    32908  59%   0% smbd -D
  296   293 root     S    31976  57%   0% {smbd-notifyd} smbd -D
  297   293 root     S    31968  57%   0% {smbd-cleanupd} smbd -D
  302     1 root     S    24480  44%   0% nmbd -D
  245     1 root     S    10220  18%   0% /usr/bin/adbd
  198     1 root     S     5368  10%   0% /usr/sbin/ntpd -g -p /var/run/ntpd.pid
  494   205 root     S     5328  10%   0% sshd: root@notty
  424   205 root     S     5168   9%   0% sshd: root@pts/0
  591   205 root     S     5164   9%   0% sshd: root@pts/1
  205     1 root     S     4852   9%   0% sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  525   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  524   494 root     S     3868   7%   0% /usr/libexec/sftp-server
  496   494 root     S     3812   7%   0% /usr/libexec/sftp-server
  440   424 root     S     1824   3%   0% -sh
  593   591 root     S     1820   3%   0% -sh
    1     0 root     S     1796   3%   0% init
  373     1 root     S     1792   3%   0% /sbin/getty -L console 0 vt100
  211     1 root     S     1788   3%   0% /usr/sbin/telnetd -F
   87     1 root     S     1596   3%   0% /sbin/udevd -d
  534     2 root     IW       0   0%   0% [kworker/0:2-eve]
  370     2 root     DW       0   0%   0% [vmcu]
    7     2 root     SW       0   0%   0% [ksoftirqd/0]
  567     2 root     IW       0   0%   0% [kworker/0:3-eve]
  254     2 root     SW       0   0%   0% [irq/62-dwc3]
   11     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
   47     2 root     SW       0   0%   0% [irq/63-fts]
   36     2 root     SW       0   0%   0% [kswapd0]
   42     2 root     IW       0   0%   0% [kworker/u2:1-ex]
  339     2 root     SW       0   0%   0% [irq/38-rga2]
  584     2 root     IW       0   0%   0% [kworker/0:0-eve]
  622     2 root     IW       0   0%   0% [kworker/u2:0-ev]
   53     2 root     SW       0   0%   0% [jbd2/mmcblk1p7-]
  541     2 root     IW       0   0%   0% [kworker/u2:2-ex]
   31     2 root     SW       0   0%   0% [watchdogd]
   30     2 root     IW<      0   0%   0% [devfreq_wq]
    6     2 root     IW<      0   0%   0% [mm_percpu_wq]
   38     2 root     SW       0   0%   0% [irq/59-rockchip]
   35     2 root     IW<      0   0%   0% [xprtiod]
    4     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
   40     2 root     SW       0   0%   0% [irq/61-rockchip]
   33     2 root     IW<      0   0%   0% [rpciod]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
   39     2 root     SW       0   0%   0% [irq/60-rockchip]
  341     2 root     SW       0   0%   0% [queue_work0]
  342     2 root     SW       0   0%   0% [queue_work1]
  343     2 root     SW       0   0%   0% [irq/46-ffa50000]
   34     2 root     IW<      0   0%   0% [kworker/u3:0]
  345     2 root     SW       0   0%   0% [vcodec_thread_0]
  347     2 root     IW<      0   0%   0% [rknpu_power_off]
   37     2 root     IW<      0   0%   0% [nfsiod]
  366     2 root     DW       0   0%   0% [vsys]
    9     2 root     SW       0   0%   0% [oom_reaper]
   10     2 root     IW<      0   0%   0% [writeback]
   12     2 root     SWN      0   0%   0% [ksmd]
  328     2 root     SW       0   0%   0% [irq/48-ffa70000]
   28     2 root     IW<      0   0%   0% [kblockd]
  418     2 root     IW<      0   0%   0% [cfg80211]
   45     2 root     SW       0   0%   0% [irq/21-RTC alar]
   46     2 root     IW<      0   0%   0% [fts_wq]
    2     0 root     SW       0   0%   0% [kthreadd]
   48     2 root     SW       0   0%   0% [irq/23-rockchip]
   51     2 root     IW<      0   0%   0% [mmc_complete]
  365     2 root     DW       0   0%   0% [vlog]
   54     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     DW       0   0%   0% [vrga]
  368     2 root     DW       0   0%   0% [vpss]
  369     2 root     DW       0   0%   0% [vrgn]
   41     2 root     SW       0   0%   0% [hwrng]
  123     2 root     SW       0   0%   0% [jbd2/mmcblk1p6-]
  125     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  171     2 root     SW       0   0%   0% [jbd2/mmcblk1p5-]
  172     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  344     2 root     SW       0   0%   0% [irq/47-ffa60000]
Mem: 54300K used, 1428K free, 956K shrd, 1180K buff, 25168K cached
CPU:  58% usr  15% sys   0% nic  26% idle   0% io   0% irq   0% sirq
Load average: 9.98 7.97 6.64 1/98 626
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  596   440 root     S    69208 124%  48% ./main
  611     2 root     IW       0   0%   8% [kworker/0:1-eve]
   76     1 root     R     1784   3%   6% /sbin/klogd -n
